level,code,task_name,planned_dur,actual_start,actual_end,weight_pct,completion_pct,total_float,project_code,weight_norm
9,                                    C3620,外粉,4,2021-06-24,2021-06-26,25.0,100.0,186,N791,0.000555592224642382
9,                                    C3630,内粉,4,2021-06-24,2021-06-27,25.0,100.0,186,N791,0.000555592224642382
9,                                    C3640,门窗,3,2021-07-08,2021-07-11,18.75,100.0,183,N791,0.00041669416848178647
9,                                    C3650,地砖,5,2021-08-20,2021-08-29,31.25,100.0,-34,N791,0.0006944902808029774
8,                                A1780,低压变频柜安装,1,2021-10-03,2021-10-03,0.0,100.0,97,N791,0.0
8,                                A1790,ACC柜安装,1,2021-10-04,2021-10-04,0.0,100.0,97,N791,0.0
8,                                A1800,DCS柜安装,1,2021-10-05,2021-10-05,0.0,100.0,97,N791,0.0
8,                                E8020,变压器安装,7,2021-09-25,2021-09-26,77.78,100.0,105,N791,0.0017285585293073788
8,                                E8030,低压柜安装,2,2021-10-08,2021-10-09,22.22,100.0,28,N791,0.0004938103692621491
8,                                E8100,UPS安装,1,2021-10-06,2021-10-06,0.0,100.0,97,N791,0.0
8,                                E8040,电缆敷设,20,2021-10-20,2021-11-08,50.0,100.0,28,N791,0.001111184449284764
8,                                E8050,接线,25,2021-11-28,2021-12-22,50.0,100.0,14,N791,0.001111184449284764
8,                                E8060,接地安装,15,2021-09-19,2021-09-25,23.08,100.0,0,N791,0.000512922741789847
8,                                E8070,仪表安装,20,2021-11-06,2021-11-25,30.77,100.0,0,N791,0.0006838229100898437
8,                                E8080,非标箱和照明箱安装,30,2021-11-28,2021-12-27,46.15,100.0,0,N791,0.001025623246689837
8,                                E8090,通电,3,2021-12-26,2021-12-28,100.0,100.0,14,N791,0.002222368898569528
7,                            C4360,图纸到场,0,2021-07-01,2021-07-01,0.0,100.0,0,N791,0.0
8,                                C4370,土方开挖,3,2021-07-03,2021-07-06,5.66,100.0,83,N791,0.00012578607965903527
8,                                C4380,柱基础施工,5,2021-07-08,2021-07-17,9.43,100.0,83,N791,0.00020956938713510647
8,                                C4390,地梁,7,2021-07-18,2021-07-24,13.21,100.0,83,N791,0.0002935749315010346
8,                                C4400,电缆沟及设备基础,8,2021-07-25,2021-07-31,15.09,100.0,83,N791,0.00033535546679414177
8,                                C4410,电缆回填及室内地面浇筑,7,2021-08-07,2021-08-12,13.21,100.0,74,N791,0.0002935749315010346
8,                                C4420,第一层,12,2021-08-01,2021-08-10,22.64,100.0,78,N791,0.0005031443186361411
8,                                C4430,一层墙体砌筑,10,2021-08-29,2021-09-05,18.87,100.0,86,N791,0.0004193610111600699
8,                                C4440,交安,1,2021-10-03,2021-10-03,1.89,100.0,79,N791,4.200277218296408e-05
8,                                C4450,外粉,4,2021-09-12,2021-09-15,25.0,100.0,86,N791,0.000555592224642382
8,                                C4460,内粉,4,2021-09-12,2021-09-15,25.0,100.0,86,N791,0.000555592224642382
8,                                C4470,门窗,3,2021-09-16,2021-09-18,18.75,100.0,86,N791,0.00041669416848178647
8,                                C4480,地砖,5,2021-09-19,2021-09-26,31.25,100.0,79,N791,0.0006944902808029774
8,                                M8100,柴油发电机安装,2,2021-10-11,2021-10-12,28.57,100.0,79,N791,0.0006349307943213141
8,                                M8101,电气安装,5,2021-10-20,2021-10-24,71.43,100.0,79,N791,0.0015874381042482138
7,                            C4490,土建工程,45,2021-08-20,2021-10-12,100.0,100.0,0,N791,0.002222368898569528
8,                                E9010,桥架安装,90,2021-11-01,2022-01-20,60.0,100.0,-203,N791,0.0013334213391417167
8,                                E9011,照明,60,2022-03-15,2022-05-30,40.0,100.0,-211,N791,0.0008889475594278111
8,                                C4770,图纸到场,0,2021-07-01,2021-07-01,0.0,100.0,0,N791,0.0
9,                                    C4780,土方开挖,3,2021-06-01,2021-06-03,13.64,100.0,77,N791,0.0003031311177648836
9,                                    C4790,柱基础施工,4,2021-06-06,2021-06-06,18.18,100.0,77,N791,0.00040402666575994016
9,                                    C4800,地梁,4,2021-07-04,2021-07-11,18.18,100.0,52,N791,0.00040402666575994016
9,                                    C4810,设备基础,5,2021-07-13,2021-07-17,22.73,100.0,52,N791,0.0005051444506448537
9,                                    C4820,回填,3,2021-07-20,2021-07-24,13.64,100.0,52,N791,0.0003031311177648836
9,                                    C4900,室内地面,3,2021-08-29,2021-08-31,13.63,100.0,47,N791,0.0003029088808750267
9,                                    C4830,第一层,15,2021-07-15,2021-07-20,68.18,100.0,36,N791,0.0015152111150447043
9,                                    C4840,一层墙体砌筑,7,2021-07-21,2021-07-27,31.82,100.0,54,N791,0.0007071577835248237
9,                                    C4850,交安,1,2021-09-10,2021-09-10,100.0,100.0,47,N791,0.002222368898569528
9,                                    C4860,外粉,3,2021-09-01,2021-09-03,25.0,100.0,130,N791,0.000555592224642382
9,                                    C4870,内粉,3,2021-09-01,2021-09-03,25.0,100.0,47,N791,0.000555592224642382
9,                                    C4880,门窗,2,2021-09-04,2021-09-05,16.67,100.0,47,N791,0.0003704688953915403
9,                                    C4890,地砖,4,2021-09-19,2021-09-22,33.33,100.0,-13,N791,0.0007407155538932236
8,                                E9030,油泵系统安装,7,2021-10-03,2021-10-09,41.18,100.0,32,N791,0.0009151715124309316
8,                                E9040,电气安装,10,2021-11-28,2021-12-07,58.82,100.0,0,N791,0.0013071973861385963
8,                                C4500,图纸到场,0,2021-04-18,2021-04-18,0.0,100.0,0,N791,0.0
9,                                    C4510,土方开挖,4,2021-04-20,2021-04-23,13.33,100.0,58,N791,0.0002962417741793181
9,                                    C4520,柱基础施工,5,2021-04-25,2021-04-29,16.67,100.0,55,N791,0.0003704688953915403
9,                                    C4530,地梁,8,2021-04-30,2021-05-02,26.67,100.0,55,N791,0.0005927057852484931
9,                                    C4540,设备基础,6,2021-05-08,2021-05-13,20.0,100.0,61,N791,0.00044447377971390555
9,                                    C4550,回填及室内地面,7,2021-05-18,2021-05-23,23.33,100.0,61,N791,0.0005184786640362708
9,                                    C4560,第一层,12,2021-05-23,2021-05-27,60.0,100.0,61,N791,0.0013334213391417167
9,                                    C4570,一层墙体砌筑,8,2021-06-13,2021-06-20,40.0,100.0,69,N791,0.0008889475594278111
9,                                    C4580,交安,1,2021-08-01,2021-08-01,100.0,100.0,47,N791,0.002222368898569528
